阿根廷	a gen ting
抱怨	bao yuan
爆炸	bao zha
保障	bao zhang
抱着	bao zhe
保证	bao zheng
保证金	bao zheng jin
保证责任	bao zheng ze ren
报纸	bao zhi
包装	bao zhuang
包子	bao zi
悲哀	bei ai
备案	bei an
背包	bei bao
被保险人	bei bao xian ren
北部	bei bu
被称为	bei cheng wei
北大	bei da
被动	bei dong
北方	bei fang
备份	bei fen
被告	bei gao
被告人	bei gao ren
北海	bei hai
背后	bei hou
北京	bei jing
背景	bei jing
北京大学	bei jing da xue
北京的	bei jing de
北京市	bei jing shi
北京时间	bei jing shi jian
背景下	bei jing xia
悲剧	bei ju
北路	bei lu
北美	bei mei
背面	bei mian
被评为	bei ping wei
被迫	bei po
被人	bei ren
被认为	bei ren wei
悲伤	bei shang
背上	bei shang
倍数	bei shu
被我	bei wo
备用	bei yong
被誉为	bei yu wei
背着	bei zhe
备注	bei zhu
本案	ben an
本报	ben bao
本报记者	ben bao ji zhe
本报讯	ben bao xun
本部	ben bu
本产品	ben chan pin
奔驰	ben chi
本次	ben ci
本单位	ben dan wei
本地	ben di
本地区	ben di qu
本店	ben dian
本法	ben fa
本公司	ben gong si
本规定	ben gui ding
本国	ben guo
本行	ben hang
本合同	ben he tong
本届	ben jie
本科	ben ke
本科生	ben ke sheng
本来就	ben lai jiu
本类	ben lei
本领	ben ling
本论坛	ben lun tan
本能	ben neng
本片	ben pian
本品	ben pin
本期	ben qi
本企业	ben qi ye
本人	ben ren
本日	ben ri
本软件	ben ruan jian
本身	ben shen
本书	ben shu
奔腾	ben teng
本田	ben tian
本条	ben tiao
本条例	ben tiao li
本帖	ben tie
本土	ben tu
本网站	ben wang zhan
本文	ben wen
本系统	ben xi tong
本校	ben xiao
本性	ben xing
本月	ben yue
本站	ben zhan
本站所有	ben zhan suo you
本站原创	ben zhan yuan chuang
本章	ben zhang
本质	ben zhi
本周	ben zhou
本专业	ben zhuan ye
崩溃	beng kui
必备	bi bei
必不可少	bi bu ke shao
彼此	bi ci
必定	bi ding
笔记	bi ji
笔记本	bi ji ben
必将	bi jiang
比较	bi jiao
比较好	bi jiao hao
毕竟	bi jing
毕竟是	bi jing shi
避开	bi kai
比例	bi li
比率	bi lv
避免	bi mian
避免了	bi mian le
比起	bi qi
比去年	bi qu nian
必然	bi ran
比如	bi ru
比如说	bi ru shuo
比赛	bi sai
比上年	bi shang nian
笔试	bi shi
比我	bi wo
陛下	bi xia
必须	bi xu
必需	bi xu
必须有	bi xu you
比亚迪	bi ya di
必要	bi yao
必要的	bi yao de
必要时	bi yao shi
必要性	bi yao xing
毕业	bi ye
毕业后	bi ye hou
毕业生	bi ye sheng
毕业于	bi ye yu
比喻	bi yu
笔者	bi zhe
壁纸	bi zhi
比重	bi zhong
鼻子	bi zi
遍布	bian bu
变成	bian cheng
编程	bian cheng
变成了	bian cheng le
变得	bian de
变的	bian de
变动	bian dong
变革	bian ge
变更	bian geng
变更登记	bian geng deng ji
编号	bian hao
辩护	bian hu
变化	bian hua
变换	bian huan
便会	bian hui
编辑	bian ji
编辑部	bian ji bu
编辑器	bian ji qi
变焦	bian jiao
便捷	bian jie
边界	bian jie
边境	bian jing
便可	bian ke
变了	bian le
便利	bian li
变量	bian liang
编码	bian ma
变迁	bian qian
边上	bian shang
便是	bian shi
变态	bian tai
变为	bian wei
编写	bian xie
变形	bian xing
变压器	bian ya qi
编译	bian yi
编译器	bian yi qi
便于	bian yu
边缘	bian yuan
编制	bian zhi
表达	biao da
表达的	biao da de
表达了	biao da le
表单	biao dan
表格	biao ge
标记	biao ji
表决	biao jue
表面	biao mian
表明	biao ming
标明	biao ming
标签	biao qian
表情	biao qing
表示	biao shi
表述	biao shu
标题	biao ti
表现	biao xian
表现出	biao xian chu
表现的	biao xian de
表现为	biao xian wei
表现在	biao xian zai
表演	biao yan
表扬	biao yang
表彰	biao zhang
标志	biao zhi
标志着	biao zhi zhe
标注	biao zhu
标准	biao zhun
标准和	biao zhun he
标准化	biao zhun hua
别的	bie de
别人	bie ren
别墅	bie shu
宾馆	bin guan
并按	bing an
并把	bing ba
并报	bing bao
病变	bing bian
并不	bing bu
并不代表	bing bu dai biao
并不能	bing bu neng
并不是	bing bu shi
秉承	bing cheng
并处	bing chu
病毒	bing du
并对	bing dui
并发	bing fa
并非	bing fei
并根据	bing gen ju
并购	bing gou
并及时	bing ji shi
并将	bing jiang
并进	bing jin
并经	bing jing
并可	bing ke
冰冷	bing leng
病例	bing li
并没	bing mei
并没有	bing mei you
并能	bing neng
并且	bing qie
并且在	bing qie zai
病情	bing qing
并取得	bing qu de
病人	bing ren
病人的	bing ren de
并使	bing shi
并提	bing ti
并通过	bing tong guo
并未	bing wei
并为	bing wei
并无	bing wu
冰箱	bing xiang
并向	bing xiang
冰雪	bing xue
并以	bing yi
病因	bing yin
并用	bing yong
并有	bing you
并由	bing you
并与	bing yu
并于	bing yu
并在	bing zai
并重	bing zhong
并作	bing zuo
播出	bo chu
拨打	bo da
波动	bo dong
播放	bo fang
播放器	bo fang qi
博客	bo ke
博览会	bo lan hui
玻璃	bo li
薄弱	bo ruo
博士	bo shi
博士后	bo shi hou
博士学位	bo shi xue wei
博物馆	bo wu guan
播种	bo zhong
脖子	bo zi
不爱	bu ai
不安	bu an
不包括	bu bao kuo
不被	bu bei
不必	bu bi
不变	bu bian
不便	bu bian
不曾	bu ceng
补偿	bu chang
不超过	bu chao guo
不成	bu cheng
不承担	bu cheng dan
不吃	bu chi
补充	bu chong
不出	bu chu
不存在	bu cun zai
不错	bu cuo
不大	bu da
不代表	bu dai biao
不但	bu dan
不当	bu dang
不到	bu dao
不得	bu de
不得不	bu de bu
不得超过	bu de chao guo
不得以	bu de yi
不等	bu deng
不低于	bu di yu
补丁	bu ding
不懂	bu dong
不动	bu dong
不动产	bu dong chan
不断	bu duan
不断地	bu duan de
不断发展	bu duan fa zhan
不断扩大	bu duan kuo da
不断提高	bu duan ti gao
不断完善	bu duan wan shan
不对	bu dui
部队	bu dui
不多	bu duo
步伐	bu fa
不发	bu fa
不乏	bu fa
不妨	bu fang
部分	bu fen
不分	bu fen
部分的	bu fen de
部分内容	bu fen nei rong
不服	bu fu
不符	bu fu
不符合	bu fu he
不该	bu gai
不敢	bu gan
不高	bu gao
不给	bu gei
不够	bu gou
不顾	bu gu
不管	bu guan
不管是	bu guan shi
不过	bu guo
不含	bu han
不好	bu hao
不好意思	bu hao yi si
不合格	bu he ge
不合理	bu he li
不会	bu hui
不会有	bu hui you
不及	bu ji
不见	bu jian
部件	bu jian
不解	bu jie
不仅	bu jin
不禁	bu jin
不仅仅	bu jin jin
不仅仅是	bu jin jin shi
不仅是	bu jin shi
不久	bu jiu
布局	bu ju
不具备	bu ju bei
不觉	bu jue
不看	bu kan
不可	bu ke
不可能	bu ke neng
不可思议	bu ke si yi
不可以	bu ke yi
不肯	bu ken
不来	bu lai
不了	bu le
不利	bu li
不利于	bu li yu
不良	bu liang
不论	bu lun
不论是	bu lun shi
部落	bu luo
不满	bu man
不满意	bu man yi
部门	bu men
不明	bu ming
不明白	bu ming bai
不能	bu neng
不能下载	bu neng xia zai
不怕	bu pa
不起	bu qi
不强	bu qiang
不清	bu qing
不清楚	bu qing chu
不去	bu qu
不然	bu ran
不让	bu rang
不容易	bu rong yi
不如	bu ru
步入	bu ru
不上	bu shang
不少	bu shao
不少人	bu shao ren
不少于	bu shao yu
不是	bu shi
不适	bu shi
不时	bu shi
不适合	bu shi he
不是很	bu shi hen
不受	bu shou
部署	bu shu
不属于	bu shu yu
不说	bu shuo
不算	bu suan
不太	bu tai
不提供	bu ti gong
补贴	bu tie
不停	bu ting
不停地	bu ting de
不同	bu tong
不同程度	bu tong cheng du
不同的	bu tong de
不同意	bu tong yi
不同于	bu tong yu
部位	bu wei
不为	bu wei
部委办	bu wei ban
不稳定	bu wen ding
不喜欢	bu xi huan
不限	bu xian
不想	bu xiang
不详	bu xiang
不像	bu xiang
不想干	bu xiang gan
不想干了	bu xiang gan le
不小心	bu xiao xin
不信	bu xin
不行	bu xing
不幸	bu xing
步行	bu xing
不锈钢	bu xiu gang
不许	bu xu
不需要	bu xu yao
不要	bu yao
不宜	bu yi
不易	bu yi
不已	bu yi
不一	bu yi
不一定	bu yi ding
不一样	bu yi yang
不应	bu ying
不应该	bu ying gai
不影响	bu ying xiang
不用	bu yong
不由	bu you
不与	bu yu
不予	bu yu
不愿	bu yuan
不远	bu yuan
不愿意	bu yuan yi
不允许	bu yun xu
不再	bu zai
不在	bu zai
不再是	bu zai shi
部长	bu zhang
不正常	bu zheng chang
不正确	bu zheng que
不知	bu zhi
布置	bu zhi
不止	bu zhi
不知不觉	bu zhi bu jue
不支持	bu zhi chi
不知道	bu zhi dao
步骤	bu zhou
补助	bu zhu
不住	bu zhu
不准	bu zhun
捕捉	bu zhuo
不足	bu zu
不做	bu zuo
猜测	cai ce
财产	cai chan
菜单	cai dan
彩电	cai dian
裁定	cai ding
才发现	cai fa xian
采访	cai fang
财富	cai fu
彩虹	cai hong
才华	cai hua
才会	cai hui
采集	cai ji
财经	cai jing
裁决	cai jue
才可	cai ke
才可以	cai ke yi
财力	cai li
材料	cai liao
才能	cai neng
菜鸟	cai niao
裁判	cai pan
彩票	cai piao
采取	cai qu
采取措施	cai qu cuo shi
采取的	cai qu de
采取了	cai qu le
彩色	cai se
才是	cai shi
财务	cai wu
财物	cai wu
财务管理	cai wu guan li
财务会计	cai wu kuai ji
彩信	cai xin
菜肴	cai yao
采用	cai yong
采用了	cai yong le
才有	cai you
财政	cai zheng
财政部	cai zheng bu
财政部门	cai zheng bu men
材质	cai zhi
才知道	cai zhi dao
参保	can bao
参观	can guan
餐馆	can guan
参会	can hui
残疾	can ji
残疾人	can ji ren
参加	can jia
参加了	can jia le
参见	can jian
参考	can kao
参考价格	can kao jia ge
灿烂	can lan
灿烂的	can lan de
残留	can liu
参赛	can sai
参数	can shu
餐厅	can ting
餐饮	can yin
参与	can yu
参与者	can yu zhe
参展	can zhan
参展的	can zhan de
参展商	can zhan shang
参照	can zhao
仓储	cang chu
仓库	cang ku
草案	cao an
曹操	cao cao
草原	cao yuan
操纵	cao zong
操作	cao zuo
操作系统	cao zuo xi tong
测定	ce ding
策划	ce hua
测绘	ce hui
测量	ce liang
策略	ce lve
侧面	ce mian
测评	ce ping
测试	ce shi
厕所	ce suo
层次	ceng ci
曾经	ceng jing
层面	ceng mian
曾在	ceng zai
差别	cha bie
差不多	cha bu duo
插槽	cha cao
查处	cha chu
差点	cha dian
差额	cha e
插件	cha jian
差距	cha ju
查看	cha kan
查看附件	cha kan fu jian
插入	cha ru
查询	cha xun
茶叶	cha ye
差异	cha yi
查阅	cha yue
查找	cha zhao
拆除	chai chu
拆迁	chai qian
柴油	chai you
产地	chan di
产量	chan liang
产能	chan neng
产品	chan pin
产品编号	chan pin bian hao
产品规格	chan pin gui ge
产品价格	chan pin jia ge
产品介绍	chan pin jie shao
产品销售	chan pin xiao shou
产品信息	chan pin xin xi
产品质量	chan pin zhi liang
产权	chan quan
产生	chan sheng
产生了	chan sheng le
阐述	chan shu
产物	chan wu
产业	chan ye
产业发展	chan ye fa zhan
产业化	chan ye hua
产业结构	chan ye jie gou
产业链	chan ye lian
产值	chan zhi
长安	chang an
长城	chang cheng
长春	chang chun
长达	chang da
倡导	chang dao
长的	chang de
场地	chang di
长度	chang du
长短	chang duan
长发	chang fa
厂房	chang fang
唱歌	chang ge
常规	chang gui
场合	chang he
厂家	chang jia
常见	chang jian
常见的	chang jian de
长江	chang jiang
场景	chang jing
长久	chang jiu
场面	chang mian
常年	chang nian
唱片	chang pian
唱片公司	chang pian gong si
长期	chang qi
长期以来	chang qi yi lai
长沙	chang sha
长沙市	chang sha shi
厂商	chang shang
场上	chang shang
尝试	chang shi
常识	chang shi
长时间	chang shi jian
场所	chang suo
畅通	chang tong
长途	chang tu
常委	chang wei
常委会	chang wei hui
常务	chang wu
畅销	chang xiao
常用	chang yong
常有	chang you
长远	chang yuan
长征	chang zheng
超标	chao biao
超出	chao chu
炒个	chao ge
炒个菜	chao ge cai
超过	chao guo
超过了	chao guo le
超级	chao ji
超级版主	chao ji ban zhu
炒几个菜	chao ji ge cai
潮流	chao liu
超声波	chao sheng bo
超市	chao shi
朝廷	chao ting
抄袭	chao xi
朝鲜	chao xian
朝阳	chao yang
朝阳区	chao yang qu
超越	chao yue
朝着	chao zhe
超值	chao zhi
炒作	chao zuo
车次	che ci
车的	che de
彻底	che di
车队	che dui
车间	che jian
车辆	che liang
车内	che nei
车上	che shang
车身	che shen
撤销	che xiao
车型	che xing
车载	che zai
车站	che zhan
车主	che zhu
车子	che zi
沉淀	chen dian
陈列	chen lie
沉默	chen mo
陈述	chen shu
沉重的	chen zhong de
承办	cheng ban
承办单位	cheng ban dan wei
承包	cheng bao
城堡	cheng bao
成本	cheng ben
乘车	cheng che
承担	cheng dan
承担责任	cheng dan ze ren
程度	cheng du
成都	cheng du
程度上	cheng du shang
成都市	cheng du shi
惩罚	cheng fa
成分	cheng fen
成功	cheng gong
成功的	cheng gong de
成功地	cheng gong de
成果	cheng guo
称号	cheng hao
称呼	cheng hu
成绩	cheng ji
成交	cheng jiao
成交量	cheng jiao liang
承接	cheng jie
成就	cheng jiu
乘客	cheng ke
成了	cheng le
成立	cheng li
城里	cheng li
成立了	cheng li le
成立于	cheng li yu
成年	cheng nian
承诺	cheng nuo
成品	cheng pin
成千上万	cheng qian shang wan
城区	cheng qu
承认	cheng ren
成人	cheng ren
成人用品	cheng ren yong pin
城市	cheng shi
诚实	cheng shi
城市的	cheng shi de
城市规划	cheng shi gui hua
城市化	cheng shi hua
城市建设	cheng shi jian she
承受	cheng shou
成熟	cheng shu
成为	cheng wei
称为	cheng wei
成为了	cheng wei le
成为一个	cheng wei yi ge
呈现	cheng xian
呈现出	cheng xian chu
城乡	cheng xiang
成效	cheng xiao
诚信	cheng xin
程序	cheng xu
程序员	cheng xu yuan
成员	cheng yuan
承运人	cheng yun ren
称赞	cheng zan
成长	cheng zhang
城镇	cheng zhen
称之为	cheng zhi wei
乘坐	cheng zuo
翅膀	chi bang
尺寸	chi cun
吃的	chi de
尺度	chi du
吃饭	chi fan
持股	chi gu
吃惊	chi jing
持久	chi jiu
吃了	chi le
持续	chi xu
持有	chi you
崇拜	chong bai
充当	chong dang
充电	chong dian
充电器	chong dian qi
冲动	chong dong
充分	chong fen
充分的	chong fen de
充分发挥	chong fen fa hui
充分利用	chong fen li yong
重复	chong fu
冲击	chong ji
重建	chong jian
充满	chong man
充满了	chong man le
重启	chong qi
重庆	chong qing
重庆市	chong qing shi
充实	chong shi
冲突	chong tu
宠物	chong wu
冲洗	chong xi
重新	chong xin
重新启动	chong xin qi dong
充值	chong zhi
重组	chong zu
充足	chong zu
充足的	chong zu de
筹备	chou bei
抽查	chou cha
抽出	chou chu
抽象	chou xiang
抽烟	chou yan
出版	chu ban
出版日期	chu ban ri qi
出版社	chu ban she
出版物	chu ban wu
储备	chu bei
初步	chu bu
出差	chu chai
出场	chu chang
出厂	chu chang
出处	chu chu
初次	chu ci
除此之外	chu ci zhi wai
储存	chu cun
出错	chu cuo
初二	chu er
出发	chu fa
处罚	chu fa
处罚的	chu fa de
厨房	chu fang
除非	chu fei
处分	chu fen
出国	chu guo
初级	chu ji
初级会员	chu ji hui yuan
出境	chu jing
出具	chu ju
出口	chu kou
出来	chu lai
出来了	chu lai le
除了	chu le
出了	chu le
处理	chu li
处理的	chu li de
出路	chu lu
出门	chu men
触摸	chu mo
处女	chu nv
出品	chu pin
初期	chu qi
畜禽	chu qin
出去	chu qu
除去	chu qu
出让	chu rang
出入	chu ru
初三	chu san
出色	chu se
出身	chu shen
初审	chu shen
出生	chu sheng
出示	chu shi
初始	chu shi
厨师	chu shi
初始化	chu shi hua
出售	chu shou
出手	chu shou
出台	chu tai
出台了	chu tai le
除外	chu wai
出席	chu xi
出席了	chu xi le
出现	chu xian
出现了	chu xian le
出现在	chu xian zai
出血	chu xie
出行	chu xing
储蓄	chu xu
出血	chu xue
处以	chu yi
初一	chu yi
处于	chu yu
出于	chu yu
处在	chu zai
处长	chu zhang
处置	chu zhi
初中	chu zhong
出资	chu zi
出自	chu zi
出租	chu zu
出租车	chu zu che
传播	chuan bo
船舶	chuan bo
传承	chuan cheng
传出	chuan chu
传递	chuan di
传感器	chuan gan qi
穿过	chuan guo
传来	chuan lai
传媒	chuan mei
传奇	chuan qi
传染病	chuan ran bing
穿上	chuan shang
传授	chuan shou
传输	chuan shu
传说	chuan shuo
传送	chuan song
传统	chuan tong
传统文化	chuan tong wen hua
船员	chuan yuan
穿越	chuan yue
穿着	chuan zhe
传真	chuan zhen
穿着	chuan zhuo
创办	chuang ban
窗户	chuang hu
创建	chuang jian
窗口	chuang kou
创立	chuang li
窗帘	chuang lian
床上	chuang shang
创始人	chuang shi ren
窗外	chuang wai
创新	chuang xin
创新能力	chuang xin neng li
创业	chuang ye
创业者	chuang ye zhe
创意	chuang yi
创造	chuang zao
创造出	chuang zao chu
创造了	chuang zao le
创造力	chuang zao li
创造性	chuang zao xing
创作	chuang zuo
垂直	chui zhi
纯粹	chun cui
春风	chun feng
春季	chun ji
春节	chun jie
纯净	chun jing
春秋	chun qiu
纯属	chun shu
春天	chun tian
此版	ci ban
此操作	ci cao zuo
此处	ci chu
此次	ci ci
此后	ci hou
词汇	ci hui
刺激	ci ji
此举	ci ju
此刻	ci ke
此类	ci lei
磁盘	ci pan
此前	ci qian
此人	ci ren
次日	ci ri
此时	ci shi
此事	ci shi
次数	ci shu
此帖	ci tie
此外	ci wai
此文	ci wen
此项	ci xiang
词语	ci yu
辞职	ci zhi
此种	ci zhong
此主题	ci zhu ti
瓷砖	ci zhuan
从不	cong bu
从此	cong ci
从而	cong er
从而使	cong er shi
从根本上	cong gen ben shang
从来	cong lai
从来没有	cong lai mei you
聪明	cong ming
聪明的	cong ming de
从前	cong qian
从容	cong rong
从事	cong shi
丛书	cong shu
从未	cong wei
从我	cong wo
从小	cong xiao
从业	cong ye
从业人员	cong ye ren yuan
从这	cong zhe
从中	cong zhong
促进	cu jin
促进了	cu jin le
促使	cu shi
促销	cu xiao
催化剂	cui hua ji
脆弱	cui ruo
存储	cun chu
存档	cun dang
存放	cun fang
存过	cun guo
存货	cun huo
存款	cun kuan
村里	cun li
村民	cun min
村委会	cun wei hui
存在	cun zai
存在着	cun zai zhe
村庄	cun zhuang
错的	cuo de
错过	cuo guo
错了	cuo le
措施	cuo shi
错误	cuo wu
挫折	cuo zhe
答案	da an
打扮	da ban
达标	da biao
达不到	da bu dao
大部分	da bu fen
大臣	da chen
达成	da cheng
大城市	da cheng shi
打出	da chu
大胆	da dan
达到	da dao
大道	da dao
达到了	da dao le
大的	da de
大地	da di
打电话	da dian hua
大豆	da dou
大都	da dou
大队	da dui
大多	da duo
大多是	da duo shi
大多数	da duo shu
大方	da fang
打分	da fen
大幅	da fu
答复	da fu
大幅度	da fu du
大概	da gai
大纲	da gang
大哥	da ge
打工	da gong
大规模	da gui mo
大规模的	da gui mo de
大国	da guo
大海	da hai
大户	da hu
打呼	da hu
大会	da hui
打击	da ji
大家	da jia
大家都	da jia dou
大家好	da jia hao
搭建	da jian
大奖	da jiang
大叫	da jiao
大街	da jie
大酒店	da jiu dian
大局	da ju
大军	da jun
打开	da kai
打开了	da kai le
打了	da le
大了	da le
大类	da lei
搭理	da li
大力	da li
大理	da li
大力发展	da li fa zhan
大力推进	da li tui jin
大力支持	da li zhi chi
大连	da lian
大连市	da lian shi
大量	da liang
大楼	da lou
大陆	da lu
大门	da men
大米	da mi
大面积	da mian ji
大脑	da nao
大盘	da pan
搭配	da pei
大批	da pi
大片	da pian
打破	da po
大气	da qi
大企业	da qi ye
大桥	da qiao
大全	da quan
大人	da ren
大肉	da rou
大赛	da sai
大声	da sheng
大师	da shi
大事	da shi
打算	da suan
大唐	da tang
答题	da ti
大腿	da tui
大王	da wang
打下	da xia
大小	da xiao
大型	da xing
大型企业	da xing qi ye
大学	da xue
大学本科	da xue ben ke
大学生	da xue sheng
打印	da yin
打印机	da yin ji
答应	da ying
大有	da you
大于	da yu
大约	da yue
打造	da zao
大战	da zhan
打折	da zhe
打着	da zhe
打折机票	da zhe ji piao
大致	da zhi
大众	da zhong
大中小	da zhong xiao
大专	da zhuan
大自然	da zi ran
大作	da zuo
代办	dai ban
代表	dai biao
代表大会	dai biao da hui
代表团	dai biao tuan
代表着	dai biao zhe
带到	dai dao
带的	dai de
带动	dai dong
戴尔	dai er
大夫	dai fu
带给	dai gei
代号	dai hao
代价	dai jia
贷款	dai kuan
带宽	dai kuan
带来	dai lai
带来了	dai lai le
代理	dai li
代理人	dai li ren
代理商	dai li shang
带领	dai ling
代码	dai ma
带上	dai shang
代替	dai ti
带头	dai tou
大王	dai wang
代谢	dai xie
带有	dai you
待遇	dai yu
带着	dai zhe
蛋白	dan bai
蛋白质	dan bai zhi
担保	dan bao
但不	dan bu
单纯	dan chun
单词	dan ci
但从	dan cong
但当	dan dang
单独	dan du
但对	dan dui
但对于	dan dui yu
蛋糕	dan gao
单个	dan ge
但还	dan hai
单击	dan ji
单价	dan jia
单间	dan jian
单据	dan ju
但没	dan mei
但你	dan ni
单片机	dan pian ji
但其	dan qi
但却	dan que
担任	dan ren
但如	dan ru
单身	dan shen
诞生	dan sheng
但是	dan shi
但是他	dan shi ta
但是在	dan shi zai
单位	dan wei
单位名称	dan wei ming cheng
但我	dan wo
但现在	dan xian zai
单项	dan xiang
担心	dan xin
但要	dan yao
但也	dan ye
单一	dan yi
但有	dan you
但又	dan you
担忧	dan you
但由于	dan you yu
但在	dan zai
但这	dan zhe
档案	dang an
当场	dang chang
当成	dang cheng
当初	dang chu
档次	dang ci
当代	dang dai
党的	dang de
党的建设	dang de jian she
党的执政	dang de zhi zheng
当地	dang di
党和国家	dang he guo jia
当即	dang ji
当今	dang jin
党内	dang nei
当你	dang ni
当年	dang nian
当您	dang nin
当期	dang qi
当前	dang qian
当前位置	dang qian wei zhi
当然	dang ran
当然是	dang ran shi
当日	dang ri
当时	dang shi
当事	dang shi
当事人	dang shi ren
当他	dang ta
当她	dang ta
当天	dang tian
当晚	dang wan
党委	dang wei
当我	dang wo
当我们	dang wo men
当下	dang xia
党员	dang yuan
党员干部	dang yuan gan bu
党章	dang zhang
党政	dang zheng
党支部	dang zhi bu
党指挥	dang zhi hui
当中	dang zhong
党中央	dang zhong yang
党组	dang zu
党组织	dang zu zhi
当作	dang zuo
盗版	dao ban
到处	dao chu
到达	dao da
导弹	dao dan
到的	dao de
道德	dao de
到底	dao di
到底是	dao di shi
导航	dao hang
到货	dao huo
道具	dao ju
刀具	dao ju
到来	dao lai
到了	dao le
道理	dao li
道路	dao lu
道路交通	dao lu jiao tong
道路上	dao lu shang
到你	dao ni
到您	dao nin
到期	dao qi
道歉	dao qian
导入	dao ru
倒是	dao shi
到时候	dao shi hou
到他	dao ta
到她	dao ta
刀塔	dao ta
到位	dao wei
到我	dao wo
到现在	dao xian zai
导向	dao xiang
导演	dao yan
到一个	dao yi ge
导游	dao you
倒在	dao zai
到这里	dao zhe li
导致	dao zhi
得不到	de bu dao
得出	de chu
得到	de dao
得到了	de dao le
得多	de duo
得分	de fen
得分儿	de fen er
得感冒	de gan mao
德国	de guo
得很	de hen
的话	de hua
得了	de le
的人	de ren
的是	de shi
的事	de shi
得意	de yi
德育	de yu
得知	de zhi
等待	deng dai
等到	deng dao
等的	deng de
等地	deng di
等多	deng duo
等方面	deng fang mian
等功能	deng gong neng
灯光	deng guang
等候	deng hou
等级	deng ji
登记	deng ji
登记表	deng ji biao
登记管理	deng ji guan li
登记机关	deng ji ji guan
灯具	deng ju
登录	deng lu
等内容	deng nei rong
等你	deng ni
等情况	deng qing kuang
等人	deng ren
登山	deng shan
登上	deng shang
等我	deng wo
邓小平	deng xiao ping
等形式	deng xing shi
等于	deng yu
等着	deng zhe
等专业	deng zhuan ye
第八条	di ba tiao
第八章	di ba zhang
地板	di ban
底部	di bu
地步	di bu
地产	di chan
低成本	di cheng ben
地处	di chu
抵触	di chu
抵达	di da
地带	di dai
地道	di dao
低的	di de
地点	di dian
低调	di diao
地段	di duan
第二次	di er ci
第二个	di er ge
第二节	di er jie
第二届	di er jie
第二款	di er kuan
第二十条	di er shi tiao
第二天	di er tian
第二条	di er tiao
